year,title,authors,journal,doi,pdf,code,abstract,PMID,Citation,First Author,Create Date,PMCID,NIHMS ID
2026,Longitudinal versus Cross-sectional effects of Age on MEG Power Spectra Parameters: Implications for Normative Models and Brain Ageing,"Crespo-García M, Apšvalka D, Demetriou I, Attaheri A, Emery T, Aller M, Henson R.",bioRxiv,10.64898/2026.06.01.729181v1,,,"Ageing produces changes in brain function. To map this process, researchers increasingly utilise Magnetoencephalography (MEG) to identify spectral shifts across large, age-diverse cohorts. However most such research has used cross-sectional designs, which may be confounded by generational differences and high inter-individual variability. To address these limitations, we analysed longitudinal resting-state MEG data from the Cam-CAN cohort, an adult lifespan cohort with a repeat MEG recording after approximately a decade. This design allowed us to contrast cross-sectional age differences between people (at baseline) with longitudinal age changes within people. Our analyses revealed four key findings. First, we observed consistency between baseline and longitudinal effects of increasing age on the slowing of the Alpha peak frequency. Second, we identified non-linear changes in Beta power, whereby power increased from youth to mid-life, but decreased from mid-life to late-life. These findings validate the use of normative charts for mapping these spectral components. Third, we detected some longitudinal effects, such as power reductions in Alpha and slowing of Beta peak frequency, that were not apparent cross-sectionally, underscoring the importance of intra-individual designs. Fourth, we did not find the commonly reported age-related flattening of the aperiodic exponent of the power spectrum, except in direct measures of cardiac activity. Together, these results demonstrate that while cross-sectional data capture major trends, longitudinal data are essential for isolating the true neurophysiological signatures of the ageing process.",,,Crespo-García M,04/06/2026,,
2026,Universal rhythmic architecture uncovers two modes of neural dynamics,"Karvat G, Crespo-García M, Vishne G, Anderson MC, Landau AN.",Nat Commun,10.1038/s41467-026-73553-8,,,,42218120,Nat Commun. 2026 May 30. doi: 10.1038/s41467-026-73553-8. Online ahead of print.,Karvat G,30/05/2026,,
2025,From Correlation to Causation: Understanding Episodic Memory Networks,"Khan A, Liu J, Crespo-García M, Yuan K, Hu CP, Ren Z, Ti CE, Oathes DJ, Tong RK.",Neurosci Bull,10.1007/s12264-025-01407-2,,,,40555861,Neurosci Bull. 2025 Aug;41(8):1463-1486. doi: 10.1007/s12264-025-01407-2. Epub 2025 Jun 24.,Khan A,24/06/2025,PMC12314160,
2025,Brain mechanisms underlying the inhibitory control of thought,"Anderson MC, Crespo-García M, Subbulakshmi S.",Nat Rev Neurosci,10.1038/s41583-025-00929-y,,,,40379896,Nat Rev Neurosci. 2025 Jul;26(7):415-437. doi: 10.1038/s41583-025-00929-y. Epub 2025 May 16.,Anderson MC,16/05/2025,,
2024,Medial Prefrontal Cortex Stimulation Reduces Retrieval-Induced Forgetting via Fronto-parietal Beta Desynchronization,"Khan A, Ti CHE, Yuan K, Crespo-García M, Anderson MC, Tong RK.",J Neurosci,10.1523/JNEUROSCI.0189-24.2024,,,,39147592,J Neurosci. 2024 Sep 11;44(37):e0189242024. doi: 10.1523/JNEUROSCI.0189-24.2024.,Khan A,15/08/2024,PMC11391495,
2022,Anterior Cingulate Cortex Signals the Need to Control Intrusive Thoughts during Motivated Forgetting,"Crespo-García M, Wang Y, Jiang M, Anderson MC, Lei X.",J Neurosci,10.1523/JNEUROSCI.1711-21.2022,,,"How do people limit awareness of unwanted memories? When such memories intrude, a control process engages the right DLPFC (rDLPFC) to inhibit hippocampal activity and stop retrieval. It remains unknown how the need for control is detected, and whether control operates proactively to prevent unwelcome memories from being retrieved, or responds reactively, to counteract intrusions. We hypothesized that dorsal ACC (dACC) detects the emergence of an unwanted trace in awareness and transmits the need for inhibitory control to rDLPFC. During a memory suppression task, we measured in humans (both sexes) trial-by-trial variations in the theta power and N2 amplitude of dACC, two EEG markers that are thought to reflect the need for control. With simultaneous EEG-fMRI recordings, we tracked interactions among dACC, rDLPFC, and hippocampus during suppression. We found a clear role of dACC in detecting the need for memory control and upregulating prefrontal inhibition. Importantly, we identified distinct early (300–450 ms) and late (500–700 ms) dACC contributions, suggesting both proactive control before recollection and reactive control in response to intrusions. Stronger early activity was associated with reduced hippocampal activity and diminished BOLD signal in dACC and rDLPFC, suggesting that preempting retrieval reduced overall control demands. In the later window, dACC activity was larger, and effective connectivity analyses revealed robust communication from dACC to rDLPFC and from rDLPFC to hippocampus, which are tied to successful forgetting. Together, our findings support a model in which dACC detects the emergence of unwanted content, triggering top-down inhibitory control, and in which rDLPFC countermands intruding thoughts that penetrate awareness.",35437275,J Neurosci. 2022 May 25;42(21):4342-4359. doi: 10.1523/JNEUROSCI.1711-21.2022. Epub 2022 Apr 18.,Crespo-García M,19/04/2022,PMC9145231,
2019,Characterizing hippocampal dynamics with MEG: A systematic review and evidence-based guidelines,"Ruzich E, Crespo-García M, Dalal SS, Schneiderman JF.",Hum Brain Mapp,10.1002/hbm.24445,,,,30378210,Hum Brain Mapp. 2019 Mar;40(4):1353-1375. doi: 10.1002/hbm.24445. Epub 2018 Oct 31.,Ruzich E,01/11/2018,PMC6456020,EMS81352
2017,Photogrammetry-Based Head Digitization for Rapid and Accurate Localization of EEG Electrodes and MEG Fiducial Markers Using a Single Digital SLR Camera,"Clausner T, Dalal SS, Crespo-García M.",Front Neurosci,10.3389/fnins.2017.00264,,,,28559791,Front Neurosci. 2017 May 16;11:264. doi: 10.3389/fnins.2017.00264. eCollection 2017.,Clausner T,01/06/2017,PMC5432580,
2016,Slow-theta power decreases during item-place encoding predict spatial accuracy of subsequent context recall,"Crespo-García M, Zeiller M, Leupold C, Kreiselmeyer G, Rampp S, Hamer HM, Dalal SS.",Neuroimage,10.1016/j.neuroimage.2016.08.021,,,"Human hippocampal theta oscillations play a key role in accurate spatial coding. Associative encoding involves similar hippocampal networks but, paradoxically, is also characterized by theta power decreases. Here, we investigated how theta activity relates to associative encoding of place contexts resulting in accurate navigation. Using MEG, we found that slow-theta (2-5Hz) power negatively correlated with subsequent spatial accuracy for virtual contextual locations in posterior hippocampus and other cortical structures involved in spatial cognition. A rare opportunity to simultaneously record MEG and intracranial EEG in an epilepsy patient provided crucial insights: during power decreases, slow-theta in right anterior hippocampus and left inferior frontal gyrus phase-led the left temporal cortex and predicted spatial accuracy. Our findings indicate that decreased slow-theta activity reflects local and long-range neural mechanisms that encode accurate spatial contexts, and strengthens the view that local suppression of low-frequency activity is essential for more efficient processing of detailed information.",27521743,Neuroimage. 2016 Nov 15;142:533-543. doi: 10.1016/j.neuroimage.2016.08.021. Epub 2016 Aug 10.,Crespo-García M,14/08/2016,,
2014,Does illusory flickering result from rhythmic sampling of visual stimuli?,"Crespo-García M, Hartmann T.",J Neurosci,10.1523/JNEUROSCI.4486-13.2014,,,,24403135,J Neurosci. 2014 Jan 8;34(2):343-5. doi: 10.1523/JNEUROSCI.4486-13.2014.,Crespo-García M,10/01/2014,PMC6608157,
2013,Working memory processes are mediated by local and long-range synchronization of alpha oscillations,"Crespo-García M, Pinal D, Cantero JL, Díaz F, Zurrón M, Atienza M.",J Cogn Neurosci,10.1162/jocn_a_00379,,,"Different cortical dynamics of alpha oscillations (8-13 Hz) have been associated with increased working memory load, which have been mostly interpreted as a neural correlate of functional inhibition. This study aims at determining whether different manifestations of load-dependent amplitude and phase dynamics in the alpha band can coexist over different cortical regions. To address this question, we increased information load by manipulating the number and spatial configuration of domino spots. Time-frequency analysis of EEG source activity revealed (i) load-independent increases of both alpha power and interregional alpha-phase synchrony within task-irrelevant, posterior cortical regions and (ii) load-dependent decreases of alpha power over areas of the left pFC and bilateral posterior parietal cortex (PPC) preceded in time by load-dependent decreases of alpha-phase synchrony between the left pFC and the left PPC. The former results support the role of alpha oscillations in inhibiting irrelevant sensorimotor processing, whereas the latter likely reflect release of parietal task-relevant areas from top-down inhibition with load increase. This interpretation found further support in a significant latency shift of 15 msec from pFC to the PPC. Together, these results suggest that amplitude and phase alpha dynamics in both local and long-range cortical networks reflect different neural mechanisms of top-down control that might be crucial in mediating the different working memory processes.",23469886,J Cogn Neurosci. 2013 Aug;25(8):1343-57. doi: 10.1162/jocn_a_00379. Epub 2013 Mar 7.,Crespo-Garcia M,09/03/2013,,
2012,Effects of semantic relatedness on age-related associative memory deficits: the role of theta oscillations,"Crespo-García M, Cantero JL, Atienza M.",Neuroimage,10.1016/j.neuroimage.2012.03.034,,,"Growing evidence suggests that age-related deficits in associative memory are alleviated when the to-be-associated items are semantically related. Here we investigate whether this beneficial effect of semantic relatedness is paralleled by spatio-temporal changes in cortical EEG dynamics during incidental encoding. Young and older adults were presented with faces at a particular spatial location preceded by a biographical cue that was either semantically related or unrelated. As expected, automatic encoding of face-location associations benefited from semantic relatedness in the two groups of age. This effect correlated with increased power of theta oscillations over medial and anterior lateral regions of the prefrontal cortex (PFC) and lateral regions of the posterior parietal cortex (PPC) in both groups. But better-performing elders also showed increased brain-behavior correlation in the theta band over the right inferior frontal gyrus (IFG) as compared to young adults. Semantic relatedness was, however, insufficient to fully eliminate age-related differences in associative memory. In line with this finding, poorer-performing elders relative to young adults showed significant reductions of theta power in the left IFG that were further predictive of behavioral impairment in the recognition task. All together, these results suggest that older adults benefit less than young adults from executive processes during encoding mainly due to neural inefficiency over regions of the left ventrolateral prefrontal cortex (VLPFC). But this associative deficit may be partially compensated for by engaging preexistent semantic knowledge, which likely leads to an efficient recruitment of attentional and integration processes supported by the left PPC and left anterior PFC respectively, together with neural compensatory mechanisms governed by the right VLPFC.",22450299,Neuroimage. 2012 Jul 16;61(4):1235-48. doi: 10.1016/j.neuroimage.2012.03.034. Epub 2012 Mar 16.,Crespo-Garcia M,28/03/2012,,
